subject_id,partially_nan_rois
sub-pixar106,168
sub-pixar106,168
sub-pixar106,168
sub-pixar106,168
sub-pixar106,168
sub-pixar092,168
sub-pixar092,168
sub-pixar092,168
sub-pixar092,168
sub-pixar092,168
sub-pixar092,168
sub-pixar071,168
sub-pixar071,168
sub-pixar071,168
sub-pixar071,168
sub-pixar071,168
sub-pixar071,168
sub-pixar006,168
sub-pixar006,168
sub-pixar006,168
sub-pixar006,168
sub-pixar006,168
sub-pixar006,168
sub-pixar095,168
sub-pixar095,168
sub-pixar095,168
sub-pixar095,168
sub-pixar095,168
sub-pixar095,168
sub-pixar101,168
sub-pixar101,168
sub-pixar101,168
sub-pixar101,168
sub-pixar101,168
sub-pixar101,168
sub-pixar034,168
sub-pixar034,168
sub-pixar034,168
sub-pixar034,168
sub-pixar034,168
sub-pixar034,168
sub-pixar043,168
sub-pixar043,168
sub-pixar043,168
sub-pixar043,168
sub-pixar043,168
sub-pixar043,168
sub-pixar139,168
sub-pixar139,168
sub-pixar139,168
sub-pixar139,168
sub-pixar139,168
sub-pixar139,168
sub-pixar049,168
sub-pixar049,168
sub-pixar049,168
sub-pixar049,168
sub-pixar049,168
sub-pixar049,168
sub-pixar144,168
sub-pixar144,168
sub-pixar144,168
sub-pixar144,168
sub-pixar144,168
sub-pixar144,168
sub-pixar133,168
sub-pixar133,168
sub-pixar133,168
sub-pixar133,168
sub-pixar133,168
sub-pixar133,168
sub-pixar086,168
sub-pixar086,168
sub-pixar086,168
sub-pixar086,168
sub-pixar086,168
sub-pixar086,168
sub-pixar112,168
sub-pixar112,168
sub-pixar112,168
sub-pixar112,168
sub-pixar112,168
sub-pixar112,168
sub-pixar068,168
sub-pixar068,168
sub-pixar068,168
sub-pixar068,168
sub-pixar068,168
sub-pixar068,168
sub-pixar118,168
sub-pixar118,168
sub-pixar118,168
sub-pixar118,168
sub-pixar118,168
sub-pixar118,168
sub-pixar062,168
sub-pixar062,168
sub-pixar062,168
sub-pixar062,168
sub-pixar062,168
sub-pixar062,168
sub-pixar015,168
sub-pixar015,168
sub-pixar015,168
sub-pixar015,168
sub-pixar015,168
sub-pixar015,168
sub-pixar120,168
sub-pixar120,168
sub-pixar120,168
sub-pixar120,168
sub-pixar120,168
sub-pixar120,168
sub-pixar027,168
sub-pixar027,168
sub-pixar027,168
sub-pixar027,168
sub-pixar027,168
sub-pixar027,168
sub-pixar050,168
sub-pixar050,168
sub-pixar050,168
sub-pixar050,168
sub-pixar050,168
sub-pixar050,168
